Player,Season,Team,S/C,GP,GS,W,L,T,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Frederik Andersen,20232024,CAR,L,10,10,6,4,--,267,239,28,0.895,2.62,641:54,0,0,0,0,0,1989-10-02,Herning,--,DNK,DNK,76,229,2012,3,87,20132014,N,Playoffs
Sergei Bobrovsky,20232024,FLA,L,24,24,16,8,--,583,528,55,0.906,2.32,1419:32,2,0,1,1,0,1988-09-20,Novokuznetsk,--,RUS,RUS,74,180,--,--,--,20102011,N,Playoffs
Laurent Brossoit,20232024,WPG,L,1,0,0,0,--,4,4,0,1,0,18:00,0,0,0,0,0,1993-03-23,Port Alberni,BC,CAN,CAN,75,203,2011,6,164,20162017,N,Playoffs
Thatcher Demko,20232024,VAN,L,1,1,1,0,--,24,22,2,0.917,2,60:00,0,0,0,0,0,1995-12-08,San Diego,CA,USA,USA,76,192,2014,2,36,20192020,N,Playoffs
Casey DeSmith,20232024,VAN,L,2,2,1,1,--,45,41,4,0.911,2.02,118:58,0,0,0,0,0,1991-08-13,Rochester,NH,USA,USA,72,180,--,--,--,20212022,N,Playoffs
Alexandar Georgiev,20232024,COL,L,11,11,6,5,--,311,279,33,0.897,2.85,694:13,0,0,0,0,0,1996-02-10,Ruse,--,BGR,RUS,73,178,--,--,--,20212022,N,Playoffs
Connor Hellebuyck,20232024,WPG,L,5,5,1,4,--,177,154,24,0.87,5.23,275:17,0,0,0,0,0,1993-05-19,Commerce,MI,USA,USA,76,207,2012,5,130,20172018,N,Playoffs
Adin Hill,20232024,VGK,L,3,3,1,2,--,72,67,5,0.931,1.7,176:17,1,0,0,0,0,1996-05-11,Comox,BC,CAN,CAN,76,215,2015,3,76,20222023,N,Playoffs
Pyotr Kochetkov,20232024,CAR,L,1,1,0,1,--,25,22,3,0.88,2.96,60:54,0,0,0,0,0,1999-06-25,Penza,--,RUS,RUS,75,193,2019,2,36,20212022,N,Playoffs
Charlie Lindgren,20232024,WSH,R,4,4,0,4,--,103,89,14,0.864,3.58,234:31,0,0,0,0,0,1993-12-18,Lakeville,MN,USA,USA,74,179,--,--,--,20232024,N,Playoffs
Jake Oettinger,20232024,DAL,L,19,19,10,9,--,516,472,45,0.915,2.24,1206:47,0,0,1,1,2,1998-12-18,Lakeville,MN,USA,USA,78,224,2017,1,26,20192020,N,Playoffs
Calvin Pickard,20232024,EDM,L,3,2,1,1,--,59,54,5,0.915,2.21,135:55,0,0,0,0,0,1992-04-15,Moncton,NB,CAN,CAN,73,206,2010,2,49,20232024,N,Playoffs
David Rittich,20232024,LAK,L,2,2,0,2,--,39,34,5,0.872,2.56,117:09,0,0,0,0,0,1992-08-19,Jihlava,--,CZE,CZE,76,205,--,--,--,20192020,N,Playoffs
Ilya Samsonov,20232024,TOR,L,5,5,1,4,--,135,121,14,0.896,3.01,279:07,0,0,0,0,0,1997-02-22,Magnitogorsk,--,RUS,RUS,75,208,2015,1,22,20202021,N,Playoffs
Juuse Saros,20232024,NSH,L,6,6,2,4,--,120,108,12,0.9,2.02,357:18,0,0,0,0,0,1995-04-19,Forssa,--,FIN,FIN,71,180,2013,4,99,20162017,N,Playoffs
Igor Shesterkin,20232024,NYR,L,16,16,10,6,--,524,486,39,0.927,2.34,999:51,0,0,0,0,0,1995-12-30,Moscow,--,RUS,RUS,73,195,2014,4,118,20192020,N,Playoffs
Arturs Silovs,20232024,VAN,L,10,10,5,5,--,283,254,29,0.898,2.91,598:18,1,0,0,0,0,2001-03-22,Riga,--,LVA,LVA,76,203,2019,6,156,20232024,N,Playoffs
Stuart Skinner,20232024,EDM,L,23,23,14,9,--,564,508,56,0.901,2.45,1373:20,1,0,1,1,2,1998-11-01,Edmonton,AB,CAN,CAN,76,230,2017,3,78,20222023,N,Playoffs
Ilya Sorokin,20232024,NYI,L,1,1,0,1,--,14,11,3,0.786,6.61,27:14,0,0,0,0,0,1995-08-04,Mezhdurechensk,--,RUS,RUS,76,211,2014,3,78,20202021,N,Playoffs
Anthony Stolarz,20232024,FLA,L,1,0,0,0,--,19,16,3,0.842,5.17,34:50,0,0,0,0,0,1994-01-20,Edison,NJ,USA,USA,78,243,2012,2,45,20232024,N,Playoffs
Jeremy Swayman,20232024,BOS,L,12,12,6,6,--,373,348,25,0.933,2.15,697:31,0,0,0,0,0,1998-11-24,Anchorage,AK,USA,USA,75,195,2017,4,111,20202021,N,Playoffs
Cam Talbot,20232024,LAK,L,3,3,1,2,--,115,99,16,0.861,5.3,181:00,0,0,0,0,0,1987-07-05,Caledonia,ON,CAN,CAN,76,200,--,--,--,20132014,N,Playoffs
Logan Thompson,20232024,VGK,R,4,4,2,2,--,127,117,10,0.921,2.35,255:00,0,0,0,0,0,1997-02-25,Calgary,AB,CAN,CAN,76,205,--,--,--,20232024,N,Playoffs
Linus Ullmark,20232024,BOS,L,2,1,0,1,--,44,39,5,0.886,3.9,77:01,0,0,0,0,0,1993-07-31,Lugnvik,--,SWE,SWE,76,215,2012,6,163,20212022,N,Playoffs
Semyon Varlamov,20232024,NYI,L,5,4,1,3,--,152,139,13,0.914,2.7,289:09,0,0,0,0,2,1988-04-27,Samara,--,RUS,RUS,74,201,2006,1,23,20082009,N,Playoffs
Andrei Vasilevskiy,20232024,TBL,L,5,5,1,4,--,156,140,16,0.897,3.22,298:06,0,0,0,0,0,1994-07-25,Tyumen,--,RUS,RUS,76,228,2012,1,19,20142015,N,Playoffs
Joseph Woll,20232024,TOR,L,3,2,2,0,--,56,54,2,0.964,0.86,139:49,0,0,0,0,2,1998-07-12,Dardenne Prairie,MO,USA,USA,75,206,2016,3,62,20222023,N,Playoffs
